trade_date,spvxtstr,spvxtstr_return,spvxtstr_index
2018-12-28,198780.7000000000,-0.0026636683,1.9703282184
2018-12-31,200199.8000000000,0.0071390231,1.9843944369
2019-01-02,202597.9000000000,0.0119785334,2.0081645721
2019-01-03,203176.8000000000,0.0028573840,2.0139026694
2019-01-04,203107.5000000000,-0.0003410822,2.0132157630
2019-01-07,203699.9000000000,0.0029166821,2.0190876733
2019-01-08,203719.6000000000,0.0000967109,2.0192829410
2019-01-09,205037.8000000000,0.0064706587,2.0323490317
2019-01-10,205696.1000000000,0.0032106275,2.0388741474
2019-01-11,206413.3000000000,0.0034866971,2.0459830841
2019-01-14,205349.8000000000,-0.0051522843,2.0354415976
2019-01-15,204749.1000000000,-0.0029252524,2.0294874171
2019-01-16,203675.2000000000,-0.0052449559,2.0188428451
2019-01-17,204718.1000000000,0.0051204074,2.0291801430
2019-01-18,203665.1000000000,-0.0051436585,2.0187427332
2019-01-22,199587.5000000000,-0.0200211033,1.9783252765
2019-01-23,201505.2000000000,0.0096083172,1.9973336532
2019-01-24,201215.9000000000,-0.0014356950,1.9944660913
2019-01-25,201910.1000000000,0.0034500256,2.0013470503
2019-01-28,201539.5000000000,-0.0018354703,1.9976736372
2019-01-29,200103.8000000000,-0.0071236656,1.9834428782
2019-01-30,202417.9000000000,0.0115644980,2.0063803995
2019-01-31,202357.4000000000,-0.0002988866,2.0057807192
2019-02-01,202186.5000000000,-0.0008445453,2.0040867465
2019-02-04,201223.2000000000,-0.0047644131,1.9945384494
2019-02-05,199632.7000000000,-0.0079041582,1.9787733020
2019-02-06,198887.0000000000,-0.0037353600,1.9713818714
2019-02-07,198725.8000000000,-0.0008105105,1.9697840457
2019-02-08,199754.5000000000,0.0051764793,1.9799805922
2019-02-11,200264.9000000000,0.0025551364,1.9850397127
2019-02-12,200819.7000000000,0.0027703307,1.9905389292
2019-02-13,198856.6000000000,-0.0097754354,1.9710805445
2019-02-14,199819.2000000000,0.0048406741,1.9806219031
2019-02-15,199772.4000000000,-0.0002342117,1.9801580182
2019-02-19,199455.0000000000,-0.0015888081,1.9770119272
2019-02-20,201461.4000000000,0.0100594119,1.9968995045
2019-02-21,199460.2000000000,-0.0099334165,1.9770634700
2019-02-22,200073.3000000000,0.0030737962,1.9831405601
2019-02-25,197180.5000000000,-0.0144587009,1.9544669239
2019-02-26,198442.3000000000,0.0063992129,1.9669739739
2019-02-27,197335.1000000000,-0.0055794556,1.9559993299
2019-02-28,197353.8000000000,0.0000947627,1.9561846857
2019-03-01,198841.7000000000,0.0075392518,1.9709328546
2019-03-04,197869.7000000000,-0.0048883107,1.9612983226
2019-03-05,197574.4000000000,-0.0014923963,1.9583712883
2019-03-06,197930.1000000000,0.0018003345,1.9618970116
2019-03-07,198528.0000000000,0.0030207634,1.9678234383
2019-03-08,199008.8000000000,0.0024218246,1.9725891615
2019-03-11,200058.0000000000,0.0052721287,1.9829889054
2019-03-12,200692.6000000000,0.0031720801,1.9892791051
2019-03-13,200293.6000000000,-0.0019881152,1.9853241891
2019-03-14,201662.7000000000,0.0068354655,1.9988948042
2019-03-15,202419.2000000000,0.0037513135,2.0063932852
2019-03-18,204168.8000000000,0.0086434488,2.0237354429
2019-03-19,203300.6000000000,-0.0042523637,2.0151297837
2019-03-20,203270.7000000000,-0.0001470729,2.0148334128
2019-03-21,202297.6000000000,-0.0047872123,2.0051879775
2019-03-22,199242.6000000000,-0.0151015138,1.9749066035
2019-03-25,200781.0000000000,0.0077212403,1.9901553320
2019-03-26,203290.5000000000,0.0124986926,2.0150296718
2019-03-27,204688.5000000000,0.0068768585,2.0288867457
2019-03-28,205842.0000000000,0.0056353923,2.0403203185
2019-03-29,204353.7000000000,-0.0072303029,2.0255681846
2019-04-01,204210.3000000000,-0.0007017245,2.0241467938
2019-04-02,205318.8000000000,0.0054282277,2.0351343234
2019-04-03,203144.6000000000,-0.0105893859,2.0135835008
2019-04-04,204157.0000000000,0.0049836422,2.0236184805
2019-04-05,204677.0000000000,0.0025470594,2.0287727569
2019-04-08,202920.4000000000,-0.0085823028,2.0113612147
2019-04-09,203807.5000000000,0.0043716649,2.0201542120
2019-04-10,205606.2000000000,0.0088254848,2.0379830523
2019-04-11,206036.7000000000,0.0020938085,2.0422501985
2019-04-12,211687.8000000000,0.0274276379,2.0982642974
2019-04-15,211989.6000000000,0.0014256844,2.1012557602
2019-04-16,213513.7000000000,0.0071895036,2.1163627461
2019-04-17,213000.7000000000,-0.0024026561,2.1112778542
2019-04-18,214202.2000000000,0.0056408265,2.1231872063
2019-04-22,213871.5000000000,-0.0015438684,2.1199092847
2019-04-23,214285.8000000000,0.0019371445,2.1240158553
2019-04-24,210978.6000000000,-0.0154335938,2.0912346574
2019-04-25,211759.3000000000,0.0037003753,2.0989730104
2019-04-26,213073.4000000000,0.0062056306,2.1119984616
2019-04-29,212906.8000000000,-0.0007818902,2.1103471108
2019-04-30,213628.8000000000,0.0033911552,2.1175036253
2019-05-01,213365.6000000000,-0.0012320436,2.1148947685
2019-05-02,213569.6000000000,0.0009561054,2.1169168308
2019-05-03,214991.2000000000,0.0066563781,2.1310078295
2019-05-06,210795.6000000000,-0.0195152174,2.0894207485
2019-05-07,207279.8000000000,-0.0166787163,2.0545718927
2019-05-08,204225.8000000000,-0.0147337078,2.0243004309
2019-05-09,204973.4000000000,0.0036606540,2.0317106944
2019-05-10,207353.6000000000,0.0116122385,2.0553034035
2019-05-13,204525.0000000000,-0.0136414318,2.0272661222
2019-05-14,202827.7000000000,-0.0082987410,2.0104423658
2019-05-15,204980.5000000000,0.0106139349,2.0317810701
2019-05-16,207612.3000000000,0.0128392701,2.0578676560
2019-05-17,206443.4000000000,-0.0056302059,2.0462814374
2019-05-20,207891.0000000000,0.0070120914,2.0606301499
2019-05-21,209545.6000000000,0.0079589785,2.0770306610
2019-05-22,210184.2000000000,0.0030475467,2.0833605089
2019-05-23,208634.5000000000,-0.0073730566,2.0679997740
2019-05-24,211095.3000000000,0.0117947895,2.0923913959
